,data,casos_novos,taxa_de_crescimento_casos,media_movel_casos
1619088,2021-08-28,0,0.0,0.14285714285714285
1619313,2021-08-29,0,0.0,0.0
1619538,2021-08-30,0,0.0,0.0
1619763,2021-08-31,0,0.0,0.0
1619988,2021-09-01,0,0.0,0.0
1620213,2021-09-02,0,0.0,0.0
1620438,2021-09-03,0,0.0,0.0
1620663,2021-09-04,0,0.0,0.0
1620888,2021-09-05,0,0.0,0.0
1621113,2021-09-06,0,0.0,0.0
1621338,2021-09-07,0,0.0,0.0
1621563,2021-09-08,0,0.0,0.0
1621788,2021-09-09,0,0.0,0.0
1622013,2021-09-10,0,0.0,0.0
1622238,2021-09-11,0,0.0,0.0
1622463,2021-09-12,0,0.0,0.0
1622688,2021-09-13,0,0.0,0.0
1622913,2021-09-14,0,0.0,0.0
1623138,2021-09-15,0,0.0,0.0
1623363,2021-09-16,0,0.0,0.0
1623588,2021-09-17,0,0.0,0.0
1623813,2021-09-18,0,0.0,0.0
1624038,2021-09-19,0,0.0,0.0
1624263,2021-09-20,0,0.0,0.0
1624488,2021-09-21,0,0.0,0.0
1624713,2021-09-22,0,0.0,0.0
1624938,2021-09-23,0,0.0,0.0
1625163,2021-09-24,0,0.0,0.0
1625388,2021-09-25,0,0.0,0.0
1625613,2021-09-26,0,0.0,0.0
1625838,2021-09-27,0,0.0,0.0
1626063,2021-09-28,0,0.0,0.0
1626288,2021-09-29,0,0.0,0.0
1626513,2021-09-30,0,0.0,0.0
1626738,2021-10-01,0,0.0,0.0
1626963,2021-10-02,0,0.0,0.0
1627188,2021-10-03,0,0.0,0.0
1627413,2021-10-04,0,0.0,0.0
1627638,2021-10-05,0,0.0,0.0
1627863,2021-10-06,0,0.0,0.0
1628088,2021-10-07,0,0.0,0.0
1628313,2021-10-08,0,0.0,0.0
1628538,2021-10-09,0,0.0,0.0
1628763,2021-10-10,0,0.0,0.0
1628988,2021-10-11,0,0.0,0.0
1629213,2021-10-12,0,0.0,0.0
1629438,2021-10-13,0,0.0,0.0
1629663,2021-10-14,0,0.0,0.0
1629888,2021-10-15,0,0.0,0.0
1630113,2021-10-16,0,0.0,0.0
1630338,2021-10-17,0,0.0,0.0
1630563,2021-10-18,0,0.0,0.0
1630788,2021-10-19,0,0.0,0.0
1631013,2021-10-20,0,0.0,0.0
1631238,2021-10-21,0,0.0,0.0
1631463,2021-10-22,0,0.0,0.0
1631688,2021-10-23,0,0.0,0.0
1631913,2021-10-24,0,0.0,0.0
1632138,2021-10-25,0,0.0,0.0
1632363,2021-10-26,0,0.0,0.0
1632588,2021-10-27,0,0.0,0.0
1632813,2021-10-28,0,0.0,0.0
1633038,2021-10-29,0,0.0,0.0
1633263,2021-10-30,0,0.0,0.0
1633488,2021-10-31,0,0.0,0.0
1633713,2021-11-01,0,0.0,0.0
1633938,2021-11-02,0,0.0,0.0
1634163,2021-11-03,0,0.0,0.0
1634388,2021-11-04,0,0.0,0.0
1634613,2021-11-05,0,0.0,0.0
1634838,2021-11-06,0,0.0,0.0
1635063,2021-11-07,0,0.0,0.0
1635288,2021-11-08,0,0.0,0.0
1635513,2021-11-09,0,0.0,0.0
1635738,2021-11-10,0,0.0,0.0
1635963,2021-11-11,0,0.0,0.0
1636188,2021-11-12,0,0.0,0.0
1636413,2021-11-13,0,0.0,0.0
1636638,2021-11-14,0,0.0,0.0
1636863,2021-11-15,0,0.0,0.0
1637088,2021-11-16,0,0.0,0.0
1637313,2021-11-17,0,0.0,0.0
1637538,2021-11-18,0,0.0,0.0
1637763,2021-11-19,0,0.0,0.0
1637988,2021-11-20,0,0.0,0.0
1638213,2021-11-21,0,0.0,0.0
1638438,2021-11-22,0,0.0,0.0
1638663,2021-11-23,0,0.0,0.0
1638888,2021-11-24,0,0.0,0.0
1639113,2021-11-25,0,0.0,0.0
1639338,2021-11-26,0,0.0,0.0
1639563,2021-11-27,0,0.0,0.0
1639788,2021-11-28,0,0.0,0.0
1640013,2021-11-29,0,0.0,0.0
